memory_decay,cps,predictability_k2_mean,predictability_k2_ci95
0.02,0.558451762291894,0.5206607782868492,0.0066061127571085745
0.05,0.4381166711668445,0.39277680869965,0.003763726735029854
0.08,0.36415817338217077,0.323355298732881,0.0033203997823816733
0.12,0.29781901860268983,0.2712688735634033,0.006560930153268256
0.18,0.23233579135677943,0.22806541830596763,0.0029923986391059594
0.25,0.18020824143584238,0.20845112678168934,0.006988688273462878
