variant,rho,rerandomize_every,reaction_mean,k0_mean,k2_mean,reaction_ci95,k0_ci95,k2_ci95
anchor,0.0,,0.531053551292285,0.4088431053709778,0.32496670276877615,0.001704290540677508,0.004266005070427517,0.004823740481078895
anchor,0.1,,0.5768422447264164,0.40362996945255114,0.3223623464967237,0.0012761261379134908,0.003655627624197897,0.01016506980658842
anchor,0.3,,0.671126303526481,0.404831700048277,0.32092819293352004,0.001633937898342952,0.005047172034053461,0.003662311089096277
anchor,0.5,,0.763678899344038,0.4144350622069524,0.336555103291402,0.0027360343703436182,0.002932921432624539,0.007433917270391028
anchor,0.75,,0.8829800125080226,0.4289898902335844,0.36519785297136925,0.0030480002940205557,0.0038249238318735974,0.00829679980362574
anchor,1.0,,1.0,0.45406585891525303,0.4033207897999755,0.0,0.0031984555625110484,0.006577353156503216
rerandomization,0.0,15,0.5101332326900722,0.31658391099109123,0.25484071495973065,0.0020362972195584203,0.004181979233834282,0.0068198309164621525
