action,Patrol,Investigate,Attack,Flee,Trust,Ignore
Patrol,0.90,0,0,0,0,0
Investigate,0,0.82,0,0,0,0
Attack,0,0,0.60,0,0,0
Flee,0,0,0,0.80,0,0
Trust,0.12,0.06,0,0,1.60,0
Ignore,0,0,0.06,0,0,1.18
